col_name,icd_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congestive_Heart_Failure,39891,40201,40211,40291,40401,40403,40411,40413,40491,40493,4254,4255,4257,4258,4259,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiac_Arrhythmia,4260,42613,4267,4269,42610,42612,4270,4271,4272,4273,4274,4276,4278,4279,7850,99601,99604,V450,V533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valvular_Disease,932,394,395,396,397,424,7463,7464,7465,7466,V422,V433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulmonary_Circulation_Disorders,4150,4151,416,4170,4178,4179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peripheral_Vascular_Disorders,930,4373,440,441,4431,4432,4438,4439,4471,5571,5579,V434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension_Uncomplicated,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension_complicated,402,403,404,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis,3341,342,343,3440,3441,3442,3443,3444,3445,3446,3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other_Neurological_Disorders,3319,3320,3321,3334,3335,33392,334,335,3362,340,341,345,3481,3483,7803,7843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic_Pulmonary_Disease,4168,4169,490,491,492,493,494,495,496,500,501,502,503,504,505,5064,5081,5088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes_Uncomplicated,2500,2501,2502,2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes_Complicated,2504,2505,2506,2507,2508,2509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothyroidism,2409,243,244,2461,2468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renal_Failure,40301,40311,40391,40402,40403,40412,40413,40492,40493,585,586,5880,V420,V451,V56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver_Disease,7022,7023,7032,7033,7044,7054,706,709,4560,4561,4562,570,571,5722,5723,5724,5728,5733,5734,5738,5739,V427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptic_Ulcer_Disease_excluding_bleeding,5317,5319,5327,5329,5337,5339,5347,5349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS/HIV,42,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,200,201,202,2030,2386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metastatic_Cancer,196,197,198,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid_Tumor_without_Metastasis,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190_191,192,193,194,195
Rheumatoid_Arthsitis/collagen,446,7010,7100,7101,7102,7103,7104,7108,7109,7112,714,7193,720,725,7285,72889,72930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coagulopathy,286,2871,2873,2874,2875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obesity,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight_Loss,260,261,262,263,7832,7994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluid_and_Electrolyte_Disorders,2536,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood_Loss_Anemia,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deficiency_Anemia,2801,2808,2809,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol_Abuse,2652,2911,2912,2913,2915,2918,2919,3030,3039,3050,3575,4255,5353,5710,5711,5712,5713,980,V113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug_Abuse,292,304,3052,3053,3054,3055,3056,3057,3058,3059,V6542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychoses,2938,295,29604,29614,29644,29654,297,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,2962,2963,2965,3004,309,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
